Region,Total Adults,Male Adults,Female Adults,Adults Aged 18-24,Adults Aged 25-44,Adults Aged 45-64,Adults Aged 65+,Number of people who accessed Private Emergency Accommodation,Number of people who accessed Supported Temporary Accommodation,Number of people who accessed Temporary Emergency Accommodation,Number of people who accessed Other Accommodation,Number of Families,Number of Adults in Families,Number of Single-Parent families,Number of Dependants in Families,Month,Year,
Dublin,4069,2669,1400,513,2368,1128,60,2200,1889,27,0,702,1045,359,1684,June,2021,
Mid-East,322,215,107,53,164,95,10,196,123,3,0,47,64,30,111,June,2021,
Midlands,75,48,27,19,41,14,1,49,10,16,0,12,13,11,22,June,2021,
Mid-West,281,195,86,32,171,73,5,50,198,33,0,31,37,25,46,June,2021,
North-East,96,72,24,9,52,25,10,21,54,21,0,8,11,5,18,June,2021,
North-West,81,55,26,18,40,22,1,37,28,13,3,6,7,5,13,June,2021,
South-East,173,130,43,26,100,42,5,35,138,0,0,14,20,8,25,June,2021,
South-West,492,351,141,61,272,141,18,333,165,0,0,46,54,38,94,June,2021,
West,258,150,108,47,122,79,10,124,134,0,0,66,99,33,154,June,2021,
Dublin,4188,2668,1520,480,2436,1200,72,2315,1888,38,0,862,1269,455,2017,July,2020,
Mid-East,316,206,110,45,168,92,11,195,117,4,0,55,78,32,134,July,2020,
Midlands,95,58,37,18,57,19,1,68,10,17,0,19,25,13,44,July,2020,
Mid-West,289,202,87,36,163,83,7,82,173,34,0,45,60,30,70,July,2020,
North-East,129,85,44,20,78,21,10,53,64,12,0,21,29,13,31,July,2020,
North-West,73,53,20,14,40,18,1,27,31,11,4,3,4,2,9,July,2020,
South-East,187,138,49,30,100,51,6,48,139,0,0,9,11,7,12,July,2020,
South-West,514,345,169,59,301,135,19,326,192,0,0,66,95,37,170,July,2020,
West,286,160,126,51,145,78,12,155,131,0,0,62,93,31,164,July,2020,
Dublin,4204,2695,1509,481,2432,1221,70,2334,1879,34,0,856,1242,470,2023,August,2020,
Mid-East,303,193,110,45,165,82,11,194,105,4,0,51,73,29,132,August,2020,
Midlands,92,56,36,20,52,19,1,66,10,16,0,19,24,14,45,August,2020,
Mid-West,291,199,92,34,173,76,8,83,171,37,0,41,56,26,62,August,2020,
North-East,126,85,41,19,74,21,12,40,50,36,0,14,18,10,25,August,2020,
North-West,67,45,22,14,35,17,1,29,28,8,2,5,6,4,11,August,2020,
South-East,188,140,48,32,98,51,7,47,141,0,0,13,16,10,20,August,2020,
South-West,529,350,179,69,299,138,23,335,197,0,0,62,93,31,157,August,2020,
West,282,165,117,49,139,84,10,142,140,0,0,59,91,27,145,August,2020,
Dublin,4251,2713,1538,504,2460,1218,69,2395,1865,35,0,865,1257,473,2008,September,2020,
Mid-East,295,184,111,48,154,82,11,195,97,4,0,58,80,36,139,September,2020,
Midlands,81,48,33,18,45,17,1,52,11,18,0,16,19,13,37,September,2020,
Mid-West,291,190,101,33,178,75,5,82,175,34,0,46,62,30,67,September,2020,
North-East,102,77,25,13,61,19,9,28,51,23,0,5,6,4,9,September,2020,
North-West,74,49,25,15,40,18,1,32,30,10,2,5,6,4,11,September,2020,
South-East,195,145,50,32,101,55,7,51,144,0,0,13,17,9,19,September,2020,
South-West,532,348,184,73,311,129,19,339,195,0,0,68,95,41,163,September,2020,
West,252,145,107,48,125,69,10,128,124,0,0,52,79,25,130,September,2020,
Dublin,4297,2762,1535,484,2494,1247,72,2410,1907,35,0,858,1246,470,2070,October,2020,
Mid-East,313,192,121,62,169,73,9,208,101,4,0,60,83,37,141,October,2020,
Midlands,79,43,36,17,41,19,2,52,11,16,0,22,26,18,48,October,2020,
Mid-West,289,193,96,27,177,78,7,80,172,37,0,39,51,27,62,October,2020,
North-East,100,73,27,12,57,21,10,27,51,22,0,3,3,3,7,October,2020,
North-West,67,44,23,13,37,17,0,29,25,11,2,6,8,4,13,October,2020,
South-East,197,149,48,31,105,54,7,53,144,0,0,14,19,9,22,October,2020,
South-West,501,338,163,53,290,140,18,340,177,0,0,65,89,41,163,October,2020,
West,252,151,101,42,134,67,9,119,133,0,0,50,75,25,116,October,2020,
Dublin,4243,2749,1494,487,2458,1228,70,2396,1856,37,0,783,1150,416,1914,November,2020,
Mid-East,323,208,115,49,173,90,11,215,104,4,0,60,84,36,134,November,2020,
Midlands,79,45,34,19,40,18,2,51,11,17,0,21,26,16,46,November,2020,
Mid-West,287,187,100,26,182,74,5,71,183,33,0,34,43,25,53,November,2020,
North-East,95,71,24,8,56,22,9,29,43,23,0,9,10,8,17,November,2020,
North-West,75,49,26,17,38,19,1,37,25,11,2,7,11,3,16,November,2020,
South-East,174,126,48,30,90,48,6,52,122,0,0,16,22,10,25,November,2020,
South-West,504,344,160,61,283,143,17,337,171,0,0,58,79,37,142,November,2020,
West,252,146,106,48,122,73,9,115,137,0,0,46,71,21,105,November,2020,
Dublin,4158,2681,1477,482,2402,1209,65,2360,1795,37,0,755,1131,379,1864,December,2020,
Mid-East,310,198,112,43,170,86,11,201,105,3,1,53,71,35,127,December,2020,
Midlands,68,38,30,15,34,18,1,39,14,15,0,16,18,14,34,December,2020,
Mid-West,274,182,92,26,167,76,5,68,164,42,0,30,37,23,51,December,2020,
North-East,89,68,21,11,50,21,7,28,44,17,0,4,4,4,9,December,2020,
North-West,72,51,21,18,34,19,1,32,28,11,1,6,8,4,12,December,2020,
South-East,169,124,45,26,86,49,8,50,119,0,0,14,19,9,21,December,2020,
South-West,485,340,145,57,272,139,17,327,158,0,0,50,71,29,119,December,2020,
West,248,146,102,50,120,70,8,108,140,0,0,42,67,17,90,December,2020,
